filename,description
thesis_texture-picture-100_artifact_01.png,"Iberian vessel, archeological technical drawing lateral view. Horizontal striped design with Alternating red/dark red and cream/ivory bands Regular, evenly-spaced parallel lines Symmetrical stripe arrangement.
"
thesis_texture-picture-101_artifact_01.png,"Iberian evssel with three main Red/maroon bands in the top, middle and bottom. Between the three main thinker bands we can see Cream surface with diagonal hatching, Dotted/stippled texture on cream ground and - Geometric line work creating triangular/chevron effects and Strong visual rhythm through parallel lines.
"
thesis_texture-picture-101_artifact_02.png,"Iberian plate, all painted in maroon/red.  to the left we can see the black geometric line showing the thikness and outline of the plate. Classic arecheology  drawings show geometry in one side and texture on the otherside. Austere, likely utilitarian ware with restrained decorative elements"
thesis_texture-picture-102_artifact_01.png,"Iberian bowl. Geometric outline to the left (see black outline) and textue to the right side. well-finished ceramic surface with a cream/pale yellow glaze or slip coating. Regular, gentle curve indicating a symmetrical, wheel-thrown construction. Clean rim edge visible at the top.
"
thesis_texture-picture-102_artifact_02.png,"Iberian Vessel half side. Curved body, possibly a bowl or jar.Horizontal band design. wo parallel white/cream-colored stripes dividing the red surface into three horizontal registers. Minimalist, linear design emphasizing horizontal division. Simple, geometric decoration characteristic of utilitarian or domestic ceramics"
thesis_texture-picture-103_artifact_01.png,"Iberian vessel, from lateral view.  Subtle curved indentation along the right edge creating a concave profile. Cream/pale yellow monochromatic coloring. Rounded, flowing silhouette suggesting functional design"
thesis_texture-picture-104_artifact_01.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Cream/pale yellow color. Solid, no drawing patterns."
thesis_texture-picture-104_artifact_02.png,"Iberian bowl or plate. First half shows geometric information and thinkness of the bowl by the black outline. Right side shows texture of the outside bowl. Cream/pale yellow color. Solid, no drawing patterns."
thesis_texture-picture-104_artifact_03.png,"Iberian vessel. Smooth, uniform surface with no visible relief decoration or incised patterns. no geometric designs, motifs, or applied decoration visible,  single cream/buff color throughout.
Curved sides with gentle inward tapering, Rounded profile  suggesting a storage or serving vessel.
"
thesis_texture-picture-104_artifact_04.png,"Iberian vessel with complex ttecture. In the top section we see Horizontal striped red bands with curved edge detail.Geometric striping with decorative curved corner element
In the upper middle section we see Sawtooth or chevron motif with Angular, zigzag formation. In the lower middle section with Vertical parallel lines with opposing sawtooth elements. Lastly in the bottom we see
Horizontal striped bands, the Simple linear repetition matching upper section. The color scheme (red and cream) enhances the geometric clarity of the design.


"
